timestamp(ms),Moisture,
"1717686886.322","502",
"1717686886.422","502",
"1717686886.522","502",
"1717686886.623","502",
"1717686886.722","500",
"1717686886.823","503",
"1717686886.922","502",
"1717686887.023","501",
"1717686887.122","502",
"1717686887.223","502",
"1717686887.323","502",
"1717686887.423","502",
"1717686887.522","502",
"1717686887.622","502",
"1717686887.722","502",
"1717686887.823","502",
"1717686887.922","502",
"1717686888.023","502",
"1717686888.122","502",
"1717686888.223","502",
"1717686888.323","502",
"1717686888.423","500",
"1717686888.522","502",
"1717686888.623","501",
"1717686888.723","502",
"1717686888.823","505",
"1717686888.923","502",
"1717686889.023","502",
"1717686889.123","503",
"1717686889.222","502",
"1717686889.322","502",
"1717686889.423","502",
"1717686889.523","502",
"1717686889.622","502",
"1717686889.723","505",
"1717686889.822","502",
"1717686889.922","502",
"1717686890.022","502",
"1717686890.123","502",
"1717686890.222","502",
"1717686890.322","502",
"1717686890.422","502",
"1717686890.523","500",
"1717686890.622","503",
"1717686890.723","502",
"1717686890.822","503",
"1717686890.923","502",
"1717686891.022","502",
"1717686891.122","502",
"1717686891.223","502",
"1717686891.323","503",
"1717686891.422","502",
"1717686891.523","502",
"1717686891.622","502",
"1717686891.723","502",
"1717686891.822","506",
"1717686891.923","503",
"1717686892.022","503",
"1717686892.123","502",
"1717686892.223","503",
"1717686892.322","502",
"1717686892.423","502",
"1717686892.522","502",
"1717686892.623","502",
"1717686892.722","501",
"1717686892.822","502",
"1717686892.922","502",
"1717686893.023","502",
"1717686893.122","502",
"1717686893.223","502",
"1717686893.322","502",
"1717686893.423","503",
"1717686893.522","505",
"1717686893.622","502",
"1717686893.722","502",
"1717686893.823","502",
"1717686893.923","501",
"1717686894.023","501",
"1717686894.123","502",
"1717686894.222","501",
"1717686894.323","500",
"1717686894.423","502",
"1717686894.522","501",
"1717686894.623","501",
"1717686894.722","501",
"1717686894.823","501",
"1717686894.922","502",
"1717686895.023","503",
"1717686895.123","502",
"1717686895.223","501",
"1717686895.323","501",
"1717686895.423","498",
"1717686895.523","501",
"1717686895.622","500",
"1717686895.723","501",
"1717686895.823","501",
"1717686895.923","500",
"1717686896.023","500",
"1717686896.123","501",
"1717686896.223","500",
"1717686896.323","500",
"1717686896.423","501",
"1717686896.523","500",
"1717686896.623","498",
"1717686896.723","500",
"1717686896.822","500",
"1717686896.923","500",
"1717686897.023","500",
"1717686897.123","501",
